balls,strikes,game_year,batter,pitch_number,at_bat_number,home_score,away_score,on_3b,on_2b,on_1b,outs_when_up,if_fielding_alignment_Infield shift,if_fielding_alignment_Standard,if_fielding_alignment_Strategic,of_fielding_alignment_Extreme outfield shift,of_fielding_alignment_Standard,of_fielding_alignment_Strategic,pitch_bin
1,0,2008,425867,2,49,1,1,0.0,0.0,450260.0,0,0,0,0,0,0,0,1
3,2,2008,450260,6,48,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,1
2,2,2008,450260,5,48,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,1
1,2,2008,450260,4,48,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1,1,2008,450260,3,48,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1,2,2008,430668,4,40,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1,0,2008,450260,2,48,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,1
1,1,2008,408236,3,43,1,1,0.0,0.0,452989.0,2,0,0,0,0,0,0,1
1,0,2008,408236,2,43,1,1,0.0,0.0,452989.0,2,0,0,0,0,0,0,1
0,0,2008,408236,1,43,1,1,0.0,0.0,452989.0,2,0,0,0,0,0,0,1
1,1,2008,114789,3,42,1,1,0.0,0.0,452989.0,1,0,0,0,0,0,0,1
1,0,2008,114789,2,42,1,1,0.0,0.0,452989.0,1,0,0,0,0,0,0,1
0,0,2008,114789,1,42,1,1,0.0,0.0,452989.0,1,0,0,0,0,0,0,0
1,1,2008,452989,3,41,1,1,0.0,0.0,0.0,1,0,0,0,0,0,0,1
0,0,2008,452989,1,41,1,1,0.0,0.0,430668.0,0,0,0,0,0,0,0,1
1,2,2008,408236,4,43,1,1,0.0,0.0,452989.0,2,0,0,0,0,0,0,1
1,1,2008,430668,3,40,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0,0,2008,425867,1,49,1,1,0.0,0.0,450260.0,0,0,0,0,0,0,0,1
1,2,2008,452989,4,23,0,1,0.0,0.0,0.0,1,0,0,0,0,0,0,1
3,2,2008,452989,9,23,0,1,0.0,0.0,0.0,1,0,0,0,0,0,0,1
2,1,2008,114789,4,9,0,1,0.0,452989.0,0.0,1,0,0,0,0,0,0,1
0,2,2008,450260,3,11,0,1,0.0,452989.0,408236.0,2,0,0,0,0,0,0,1
0,1,2008,450260,2,11,0,1,0.0,452989.0,408236.0,2,0,0,0,0,0,0,1
0,0,2008,450260,1,11,0,1,0.0,452989.0,408236.0,2,0,0,0,0,0,0,0
3,0,2008,408236,4,10,0,1,0.0,452989.0,0.0,2,0,0,0,0,0,0,1
2,0,2008,408236,3,10,0,1,0.0,452989.0,0.0,2,0,0,0,0,0,0,0
1,0,2008,408236,2,10,0,1,0.0,452989.0,0.0,2,0,0,0,0,0,0,1
0,0,2008,408236,1,10,0,1,0.0,452989.0,0.0,2,0,0,0,0,0,0,1
0,1,2008,425867,2,15,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1,1,2008,114789,3,9,0,1,0.0,452989.0,0.0,1,0,0,0,0,0,0,0
2,2,2008,114789,5,9,0,1,0.0,452989.0,0.0,1,0,0,0,0,0,0,1
0,0,2008,430668,1,7,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,1
0,0,2008,114789,1,9,0,1,0.0,452989.0,0.0,1,0,0,0,0,0,0,1
0,0,2008,408236,1,25,0,1,0.0,452989.0,114789.0,1,0,0,0,0,0,0,1
0,0,2008,452989,1,8,0,1,0.0,0.0,430668.0,0,0,0,0,0,0,0,1
2,1,2008,430668,4,7,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,1
2,0,2008,430668,3,7,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,1
0,0,2008,118120,1,18,0,1,0.0,0.0,136664.0,2,0,0,0,0,0,0,1
1,0,2008,430668,2,7,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,1
